信号名,触发次数,增量中位数,增量均值,增量正比例
黄金柱,1105,3.48,6.49,60.8
百日低量群,357008,0.55,1.85,52.4
将军柱,155216,0.54,2.16,52.2
百日低量,39719,-0.55,0.26,47.4
低量柱,75061,-0.73,0.1,46.7
缩量回踩,180828,-1.16,-0.59,44.7
量增价跌,402907,-1.33,-0.63,44.8
价升量缩,505500,-1.37,-0.58,44.6
平量柱,270916,-1.52,-0.85,44.0
缩量柱,1286431,-1.67,-0.85,43.5
梯量柱,380191,-1.84,-0.97,42.9
价跌量缩,780960,-1.87,-1.02,42.8
该涨不涨,501455,-2.0,-1.21,42.2
量价齐升,647002,-2.07,-1.19,42.0
假阴真阳,98324,-2.12,-1.12,42.3
该跌不跌,330620,-2.55,-1.94,40.6
倍量柱,135472,-2.67,-1.33,40.3
长阴短柱,144376,-3.19,-1.8,41.2
倍量过左峰,36956,-3.71,-1.92,36.6
高量柱,65534,-3.96,-2.07,36.9
发烧柱,32851,-4.89,-2.82,33.2
